date,entry_time,exit_time,direction,entry,exit,so,stop_level,band_upper,band_lower,atr14,n,pnl,equity,reason,period
2019-06-03,10:05,15:25,SHORT,7053.0,6958.0,7115.25,7115.25,7177.8,7052.7,125.11,3,568.14,20568.14,EOD,IS
2019-06-04,11:35,15:25,LONG,7129.0,7153.75,7051.75,7051.75,7110.85,6992.65,118.2,3,146.64,20714.78,EOD,IS
2019-06-05,10:35,15:25,SHORT,7175.5,7211.75,7239.75,7239.75,7301.3,7178.2,123.11,1,-73.12,20641.66,EOD,IS
2019-06-07,10:05,15:25,LONG,7376.5,7431.25,7318.5,7318.5,7375.84,7261.16,114.68,1,108.88,20750.54,EOD,IS
2019-06-10,10:20,15:25,LONG,7533.75,7514.5,7469.5,7469.5,7528.95,7410.05,118.89,1,-39.12,20711.42,EOD,IS
2019-06-11,11:40,15:25,SHORT,7518.75,7518.5,7587.5,7587.5,7647.11,7527.89,119.21,3,-0.36,20711.06,EOD,IS
2019-06-25,13:05,15:25,SHORT,7664.0,7624.5,7749.0,7749.0,7812.17,7685.83,126.34,2,156.76,20867.82,EOD,IS
2019-07-01,13:05,15:25,SHORT,7779.5,7786.25,7838.0,7838.0,7896.08,7779.92,116.16,1,-14.12,20853.7,EOD,IS
2019-07-09,10:55,15:25,LONG,7818.5,7834.75,7771.25,7771.25,7823.46,7719.04,104.43,3,95.64,20949.34,EOD,IS
2019-07-16,12:20,15:25,SHORT,7937.5,7950.5,7978.0,7978.0,8026.21,7929.79,96.41,3,-79.86,20869.48,EOD,IS
2019-07-23,10:20,14:00,SHORT,7921.5,7953.75,7961.75,7961.75,8002.31,7921.19,81.12,4,-260.48,20609.0,STOP,IS
2019-08-01,09:50,13:40,LONG,7921.25,7871.0,7871.25,7871.25,7913.62,7828.88,84.73,3,-303.36,20305.64,STOP,IS
2019-08-01,14:45,15:25,SHORT,7824.5,7827.25,7871.25,7871.25,7913.62,7828.88,84.73,3,-18.36,20287.28,EOD,IS
2019-08-02,10:20,15:25,SHORT,7701.5,7700.75,7758.5,7758.5,7807.67,7709.33,98.34,3,2.64,20289.92,EOD,IS
2019-08-05,10:50,15:25,SHORT,7477.25,7398.0,7539.5,7539.5,7593.38,7485.62,107.75,5,789.4,21079.32,EOD,IS
2019-08-07,13:45,15:25,LONG,7542.0,7561.25,7446.5,7446.5,7512.8,7380.2,132.61,1,37.88,21117.2,EOD,IS
2019-08-08,11:45,15:25,LONG,7678.0,7704.5,7601.5,7601.5,7671.46,7531.54,139.93,1,52.38,21169.58,EOD,IS
2019-08-09,11:40,13:35,SHORT,7611.25,7682.75,7692.25,7692.25,7763.94,7620.56,143.38,1,-143.62,21025.96,STOP,IS
2019-08-13,10:05,15:25,LONG,7739.25,7742.25,7566.75,7566.75,7642.42,7491.08,151.34,2,10.76,21036.72,EOD,IS
2019-08-14,12:10,15:25,SHORT,7522.25,7515.0,7607.75,7607.75,7688.62,7526.88,161.75,2,27.76,21064.48,EOD,IS
2019-08-22,11:05,15:25,SHORT,7682.75,7722.25,7753.5,7753.5,7834.56,7672.44,162.12,2,-159.24,20905.24,EOD,IS
2019-08-23,11:40,15:25,SHORT,7557.25,7482.5,7663.25,7663.25,7742.79,7583.71,159.07,2,297.76,21203.0,EOD,IS
2019-08-27,13:05,15:25,SHORT,7551.75,7571.75,7633.75,7633.75,7710.71,7556.79,153.91,1,-40.62,21162.38,EOD,IS
2019-08-30,11:25,15:25,SHORT,7660.5,7674.5,7749.5,7749.5,7821.14,7677.86,143.29,1,-28.62,21133.76,EOD,IS
2019-09-05,10:20,15:25,LONG,7873.25,7869.25,7807.25,7807.25,7868.84,7745.66,123.18,2,-17.24,21116.52,EOD,IS
2019-09-09,12:50,15:25,SHORT,7827.5,7824.5,7879.5,7879.5,7939.86,7819.14,120.71,2,10.76,21127.28,EOD,IS
2019-09-24,11:05,15:25,SHORT,7830.0,7723.25,7877.0,7877.0,7922.86,7831.14,91.71,5,1064.4,22191.68,EOD,IS
2019-09-25,14:20,15:25,LONG,7796.5,7827.75,7727.5,7727.5,7776.58,7678.42,98.16,4,247.52,22439.2,EOD,IS
2019-09-26,11:05,15:25,SHORT,7757.5,7803.75,7813.75,7813.75,7864.4,7763.1,101.3,3,-279.36,22159.84,EOD,IS
2019-09-27,10:05,15:25,SHORT,7752.75,7669.25,7805.25,7805.25,7855.31,7755.19,100.12,3,499.14,22658.98,EOD,IS
2019-09-30,12:50,15:25,LONG,7774.75,7762.0,7723.0,7723.0,7775.49,7670.51,104.98,3,-78.36,22580.62,EOD,IS
2019-10-01,11:05,15:25,SHORT,7750.25,7723.25,7797.75,7797.75,7849.09,7746.41,102.68,2,106.76,22687.38,EOD,IS
2019-10-02,10:05,15:25,SHORT,7604.25,7573.75,7652.0,7652.0,7702.9,7601.1,101.8,3,181.14,22868.52,EOD,IS
2019-10-03,10:20,11:00,SHORT,7520.25,7567.75,7567.5,7567.5,7623.21,7511.79,111.43,3,-286.86,22581.66,STOP,IS
2019-10-03,12:50,15:25,LONG,7627.5,7632.25,7567.5,7567.5,7623.21,7511.79,111.43,3,26.64,22608.3,EOD,IS
2019-10-04,14:25,15:25,LONG,7749.0,7751.5,7688.25,7688.25,7747.36,7629.14,118.21,2,8.76,22617.06,EOD,IS
2019-10-10,11:15,15:25,LONG,7783.0,7753.75,7696.75,7696.75,7760.11,7633.39,126.71,2,-118.24,22498.82,EOD,IS
