fecha_entrada,fecha_salida,direccion,retorno_pct,retorno_R,stop_pct,resultado
2022-09-15 15:09:00,2022-09-15 15:09:00,CORTO,-0.601,-1.2,0.501,PERDEDOR
2022-09-15 15:16:00,2022-09-15 15:18:00,CORTO,0.024,0.047,0.503,GANADOR
2022-09-15 22:55:00,2022-09-15 22:58:00,CORTO,-0.603,-1.199,0.503,PERDEDOR
2022-09-16 13:58:00,2022-09-16 14:01:00,CORTO,-0.539,-1.077,0.5,PERDEDOR
2022-09-16 17:08:00,2022-09-16 17:32:00,CORTO,0.258,0.517,0.499,GANADOR
2022-09-19 02:16:00,2022-09-19 02:18:00,CORTO,1.887,3.881,0.486,GANADOR
2022-09-19 02:31:00,2022-09-19 02:36:00,CORTO,2.508,5.167,0.485,GANADOR
2022-09-19 02:49:00,2022-09-19 02:51:00,CORTO,2.767,5.7,0.485,GANADOR
2022-09-21 22:18:00,2022-09-21 22:22:00,CORTO,-0.279,-0.556,0.502,PERDEDOR
2022-09-27 01:19:00,2022-09-27 01:33:00,LARGO,1.11,2.201,0.504,GANADOR
2022-09-27 01:46:00,2022-09-27 02:02:00,LARGO,0.837,1.656,0.506,GANADOR
2022-09-27 02:58:00,2022-09-27 03:02:00,LARGO,2.161,4.211,0.513,GANADOR
2022-10-04 14:02:00,2022-10-04 14:23:00,LARGO,-0.417,-0.833,0.5,PERDEDOR
2022-10-04 19:53:00,2022-10-04 20:06:00,LARGO,-0.105,-0.21,0.501,PERDEDOR
2022-10-04 20:31:00,2022-10-04 20:57:00,LARGO,0.874,1.734,0.504,GANADOR
2022-10-10 08:24:00,2022-10-10 08:44:00,CORTO,0.04,0.081,0.498,GANADOR
2022-10-10 08:46:00,2022-10-10 09:47:00,CORTO,-0.428,-0.857,0.499,PERDEDOR
2022-10-10 14:53:00,2022-10-10 16:30:00,CORTO,0.189,0.379,0.5,GANADOR
2022-10-11 00:08:00,2022-10-11 00:32:00,CORTO,-0.263,-0.527,0.499,PERDEDOR
2022-10-11 02:16:00,2022-10-11 03:09:00,CORTO,-0.29,-0.58,0.5,PERDEDOR
2022-10-11 06:04:00,2022-10-11 06:37:00,CORTO,-0.5,-1.0,0.5,PERDEDOR
2022-11-20 21:32:00,2022-11-20 21:32:00,CORTO,-0.601,-1.2,0.501,PERDEDOR
2022-11-20 21:49:00,2022-11-20 22:05:00,CORTO,0.638,1.285,0.496,GANADOR
